Country,State,County,Location,Population
US,Missouri,Caldwell,US:Missouri:Caldwell,9097
US,North Carolina,Caldwell,US:North Carolina:Caldwell,81990
US,Texas,Caldwell,US:Texas:Caldwell,39232
US,Vermont,Caledonia,US:Vermont:Caledonia,31157
US,Alabama,Calhoun,US:Alabama:Calhoun,116736
US,Arkansas,Calhoun,US:Arkansas:Calhoun,5241
US,Florida,Calhoun,US:Florida:Calhoun,14682
US,Georgia,Calhoun,US:Georgia:Calhoun,6523
US,Illinois,Calhoun,US:Illinois:Calhoun,5059
US,Iowa,Calhoun,US:Iowa:Calhoun,9926
US,Michigan,Calhoun,US:Michigan:Calhoun,135012
US,Mississippi,Calhoun,US:Mississippi:Calhoun,14734
US,South Carolina,Calhoun,US:South Carolina:Calhoun,15055
US,Texas,Calhoun,US:Texas:Calhoun,21806
US,West Virginia,Calhoun,US:West Virginia:Calhoun,7564
US,Texas,Callahan,US:Texas:Callahan,13525
US,Missouri,Callaway,US:Missouri:Callaway,44359
US,Kentucky,Calloway,US:Kentucky:Calloway,37657
US,Wisconsin,Calumet,US:Wisconsin:Calumet,49617
US,Maryland,Calvert,US:Maryland:Calvert,90484
US,Idaho,Camas,US:Idaho:Camas,1042
US,Pennsylvania,Cambria,US:Pennsylvania:Cambria,140499
US,Georgia,Camden,US:Georgia:Camden,51476
US,Missouri,Camden,US:Missouri:Camden,43862
US,New Jersey,Camden,US:New Jersey:Camden,512854
US,North Carolina,Camden,US:North Carolina:Camden,10187
US,Louisiana,Cameron,US:Louisiana:Cameron,6744
US,Pennsylvania,Cameron,US:Pennsylvania:Cameron,4886
US,Texas,Cameron,US:Texas:Cameron,417276
US,Texas,Camp,US:Texas:Camp,12413
US,Kentucky,Campbell,US:Kentucky:Campbell,90988
US,South Dakota,Campbell,US:South Dakota:Campbell,1334
US,Tennessee,Campbell,US:Tennessee:Campbell,40238
US,Virginia,Campbell,US:Virginia:Campbell,55235
US,Wyoming,Campbell,US:Wyoming:Campbell,48176
US,Puerto Rico,Camuy Municipality,US:Puerto Rico:Camuy Municipality,35159
US,Oklahoma,Canadian,US:Oklahoma:Canadian,126123
US,Georgia,Candler,US:Georgia:Candler,10937
US,Tennessee,Cannon,US:Tennessee:Cannon,13775
US,Puerto Rico,Canóvanas Municipality,US:Puerto Rico:Canóvanas Municipality,47648
US,Idaho,Canyon,US:Idaho:Canyon,198871
US,Missouri,Cape Girardeau,US:Missouri:Cape Girardeau,77320
US,New Jersey,Cape May,US:New Jersey:Cape May,95897
US,Montana,Carbon,US:Montana:Carbon,10340
US,Pennsylvania,Carbon,US:Pennsylvania:Carbon,64786
US,Utah,Carbon,US:Utah:Carbon,20988
US,Wyoming,Carbon,US:Wyoming:Carbon,15748
US,Idaho,Caribou,US:Idaho:Caribou,6808
US,Kentucky,Carlisle,US:Kentucky:Carlisle,5001
US,Minnesota,Carlton,US:Minnesota:Carlton,35460
US,Puerto Rico,Carolina Municipality,US:Puerto Rico:Carolina Municipality,176762
US,Maryland,Caroline,US:Maryland:Caroline,32693
US,Virginia,Caroline,US:Virginia:Caroline,29298
US,Arkansas,Carroll,US:Arkansas:Carroll,27808
US,Georgia,Carroll,US:Georgia:Carroll,112355
US,Illinois,Carroll,US:Illinois:Carroll,14910
US,Indiana,Carroll,US:Indiana:Carroll,20086
US,Iowa,Carroll,US:Iowa:Carroll,20598
US,Kentucky,Carroll,US:Kentucky:Carroll,10953
US,Maryland,Carroll,US:Maryland:Carroll,167564
US,Mississippi,Carroll,US:Mississippi:Carroll,10385
US,Missouri,Carroll,US:Missouri:Carroll,9127
US,New Hampshire,Carroll,US:New Hampshire:Carroll,47499
US,Ohio,Carroll,US:Ohio:Carroll,28275
US,Tennessee,Carroll,US:Tennessee:Carroll,28513
US,Virginia,Carroll,US:Virginia:Carroll,29883
US,Texas,Carson,US:Texas:Carson,6010
US,Nevada,"Carson City, Consolidated Municipality of","US:Nevada:Carson City, Consolidated Municipality of",54080
US,Kentucky,Carter,US:Kentucky:Carter,27202
US,Missouri,Carter,US:Missouri:Carter,6291
US,Montana,Carter,US:Montana:Carter,1174
US,Oklahoma,Carter,US:Oklahoma:Carter,48491
US,Tennessee,Carter,US:Tennessee:Carter,57338
US,North Carolina,Carteret,US:North Carolina:Carteret,68434
US,Minnesota,Carver,US:Minnesota:Carver,95562
US,Montana,Cascade,US:Montana:Cascade,82384
US,Kentucky,Casey,US:Kentucky:Casey,16067
US,Illinois,Cass,US:Illinois:Cass,13324
US,Indiana,Cass,US:Indiana:Cass,38463
US,Iowa,Cass,US:Iowa:Cass,13598
US,Michigan,Cass,US:Michigan:Cass,51910
US,Minnesota,Cass,US:Minnesota:Cass,28555
US,Missouri,Cass,US:Missouri:Cass,100641
US,Nebraska,Cass,US:Nebraska:Cass,25357
US,North Dakota,Cass,US:North Dakota:Cass,162829
US,Texas,Cass,US:Texas:Cass,30331
US,Idaho,Cassia,US:Idaho:Cassia,23331
US,Texas,Castro,US:Texas:Castro,8030
US,North Carolina,Caswell,US:North Carolina:Caswell,23190
US,Louisiana,Catahoula,US:Louisiana:Catahoula,10238
US,Puerto Rico,Cataño Municipality,US:Puerto Rico:Cataño Municipality,28140
US,North Carolina,Catawba,US:North Carolina:Catawba,154810
US,Georgia,Catoosa,US:Georgia:Catoosa,65311
US,New Mexico,Catron,US:New Mexico:Catron,3607
US,New York,Cattaraugus,US:New York:Cattaraugus,78892
US,North Dakota,Cavalier,US:North Dakota:Cavalier,3896
US,Puerto Rico,Cayey Municipality,US:Puerto Rico:Cayey Municipality,48119
US,New York,Cayuga,US:New York:Cayuga,79477
US,Maryland,Cecil,US:Maryland:Cecil,101913
US,Iowa,Cedar,US:Iowa:Cedar,18393
US,Missouri,Cedar,US:Missouri:Cedar,13913
US,Nebraska,Cedar,US:Nebraska:Cedar,8711
US,Puerto Rico,Ceiba Municipality,US:Puerto Rico:Ceiba Municipality,13631
US,Pennsylvania,Centre,US:Pennsylvania:Centre,155403
US,Iowa,Cerro Gordo,US:Iowa:Cerro Gordo,43575
US,Colorado,Chaffee,US:Colorado:Chaffee,18510
US,Alabama,Chambers,US:Alabama:Chambers,34162
US,Texas,Chambers,US:Texas:Chambers,36812
US,Illinois,Champaign,US:Illinois:Champaign,204897
US,Ohio,Champaign,US:Ohio:Champaign,39455
US,Missouri,Chariton,US:Missouri:Chariton,7628
US,Maryland,Charles,US:Maryland:Charles,152864
US,Virginia,Charles City,US:Virginia:Charles City,7130
US,South Dakota,Charles Mix,US:South Dakota:Charles Mix,9241
US,South Carolina,Charleston,US:South Carolina:Charleston,372803
US,Michigan,Charlevoix,US:Michigan:Charlevoix,26129
US,Florida,Charlotte,US:Florida:Charlotte,164736
US,Virginia,Charlotte,US:Virginia:Charlotte,12305
US,Virginia,"Charlottesville, City of","US:Virginia:Charlottesville, City of",44349
US,Georgia,Charlton,US:Georgia:Charlton,13255
US,Kansas,Chase,US:Kansas:Chase,2700
US,Nebraska,Chase,US:Nebraska:Chase,4000
US,Georgia,Chatham,US:Georgia:Chatham,278434
US,North Carolina,Chatham,US:North Carolina:Chatham,66817
US,Georgia,Chattahoochee,US:Georgia:Chattahoochee,12842
US,Georgia,Chattooga,US:Georgia:Chattooga,25138
US,Kansas,Chautauqua,US:Kansas:Chautauqua,3552
US,New York,Chautauqua,US:New York:Chautauqua,133080
US,New Mexico,Chaves,US:New Mexico:Chaves,65823
US,Tennessee,Cheatham,US:Tennessee:Cheatham,39492
US,Michigan,Cheboygan,US:Michigan:Cheboygan,25726
US,Washington,Chelan,US:Washington:Chelan,73967
US,New York,Chemung,US:New York:Chemung,88506
US,New York,Chenango,US:New York:Chenango,49503
US,Alabama,Cherokee,US:Alabama:Cherokee,26203
US,Georgia,Cherokee,US:Georgia:Cherokee,225106
US,Iowa,Cherokee,US:Iowa:Cherokee,11945
US,Kansas,Cherokee,US:Kansas:Cherokee,20978
US,North Carolina,Cherokee,US:North Carolina:Cherokee,27218
US,Oklahoma,Cherokee,US:Oklahoma:Cherokee,48017
US,South Carolina,Cherokee,US:South Carolina:Cherokee,55885
US,Texas,Cherokee,US:Texas:Cherokee,50878
US,Nebraska,Cherry,US:Nebraska:Cherry,5788
US,Virginia,"Chesapeake, City of","US:Virginia:Chesapeake, City of",230571
US,New Hampshire,Cheshire,US:New Hampshire:Cheshire,76610
US,Pennsylvania,Chester,US:Pennsylvania:Chester,509468
US,South Carolina,Chester,US:South Carolina:Chester,32578
US,Tennessee,Chester,US:Tennessee:Chester,17321
US,South Carolina,Chesterfield,US:South Carolina:Chesterfield,46197
US,Virginia,Chesterfield,US:Virginia:Chesterfield,327745
US,Colorado,Cheyenne,US:Colorado:Cheyenne,1890
US,Kansas,Cheyenne,US:Kansas:Cheyenne,2694
US,Nebraska,Cheyenne,US:Nebraska:Cheyenne,10091
US,Iowa,Chickasaw,US:Iowa:Chickasaw,12321
US,Mississippi,Chickasaw,US:Mississippi:Chickasaw,17311
US,Arkansas,Chicot,US:Arkansas:Chicot,11335
US,Texas,Childress,US:Texas:Childress,7095
US,Alabama,Chilton,US:Alabama:Chilton,43951
US,Michigan,Chippewa,US:Michigan:Chippewa,38696
US,Minnesota,Chippewa,US:Minnesota:Chippewa,12093
US,Wisconsin,Chippewa,US:Wisconsin:Chippewa,63132
US,Minnesota,Chisago,US:Minnesota:Chisago,53761
US,Vermont,Chittenden,US:Vermont:Chittenden,159515
US,Alabama,Choctaw,US:Alabama:Choctaw,13426
US,Mississippi,Choctaw,US:Mississippi:Choctaw,8371
US,Oklahoma,Choctaw,US:Oklahoma:Choctaw,15045
US,Montana,Chouteau,US:Montana:Chouteau,5849
US,North Carolina,Chowan,US:North Carolina:Chowan,14726
US,Illinois,Christian,US:Illinois:Christian,34298
US,Kentucky,Christian,US:Kentucky:Christian,74167
US,Missouri,Christian,US:Missouri:Christian,80899
US,Alaska,Chugach,US:Alaska:Chugach,6734
US,Nevada,Churchill,US:Nevada:Churchill,24063
US,Puerto Rico,Ciales Municipality,US:Puerto Rico:Ciales Municipality,18782
US,New Mexico,Cibola,US:New Mexico:Cibola,27335
US,Puerto Rico,Cidra Municipality,US:Puerto Rico:Cidra Municipality,43480
US,Oklahoma,Cimarron,US:Oklahoma:Cimarron,2335
US,Florida,Citrus,US:Florida:Citrus,139271
US,Oregon,Clackamas,US:Oregon:Clackamas,388263
US,Louisiana,Claiborne,US:Louisiana:Claiborne,16650
US,Mississippi,Claiborne,US:Mississippi:Claiborne,9253
US,Tennessee,Claiborne,US:Tennessee:Claiborne,31560
US,Washington,Clallam,US:Washington:Clallam,72312
US,Michigan,Clare,US:Michigan:Clare,30569
US,South Carolina,Clarendon,US:South Carolina:Clarendon,34355
US,Pennsylvania,Clarion,US:Pennsylvania:Clarion,39155
US,Arkansas,Clark,US:Arkansas:Clark,22743
US,Idaho,Clark,US:Idaho:Clark,867
US,Illinois,Clark,US:Illinois:Clark,16182
US,Indiana,Clark,US:Indiana:Clark,112938
US,Kansas,Clark,US:Kansas:Clark,2193
US,Kentucky,Clark,US:Kentucky:Clark,35614
US,Missouri,Clark,US:Missouri:Clark,6910
US,Nevada,Clark,US:Nevada:Clark,2027868
US,Ohio,Clark,US:Ohio:Clark,136167
US,South Dakota,Clark,US:South Dakota:Clark,3610
US,Washington,Clark,US:Washington:Clark,443817
US,Wisconsin,Clark,US:Wisconsin:Clark,34615
US,Alabama,Clarke,US:Alabama:Clarke,25207
US,Georgia,Clarke,US:Georgia:Clarke,121265
US,Iowa,Clarke,US:Iowa:Clarke,9325
US,Mississippi,Clarke,US:Mississippi:Clarke,16415
US,Virginia,Clarke,US:Virginia:Clarke,14348
US,Oregon,Clatsop,US:Oregon:Clatsop,37244
US,Alabama,Clay,US:Alabama:Clay,13486
US,Arkansas,Clay,US:Arkansas:Clay,15402
US,Florida,Clay,US:Florida:Clay,196399
US,Georgia,Clay,US:Georgia:Clay,3045
US,Illinois,Clay,US:Illinois:Clay,13566
US,Indiana,Clay,US:Indiana:Clay,26803
US,Iowa,Clay,US:Iowa:Clay,16491
US,Kansas,Clay,US:Kansas:Clay,8406
US,Kentucky,Clay,US:Kentucky:Clay,21364
US,Minnesota,Clay,US:Minnesota:Clay,60661
US,Mississippi,Clay,US:Mississippi:Clay,20408
US,Missouri,Clay,US:Missouri:Clay,230473
US,Nebraska,Clay,US:Nebraska:Clay,6392
US,North Carolina,Clay,US:North Carolina:Clay,10584
US,South Dakota,Clay,US:South Dakota:Clay,13935
US,Tennessee,Clay,US:Tennessee:Clay,7774
US,Texas,Clay,US:Texas:Clay,10473
US,West Virginia,Clay,US:West Virginia:Clay,9244
US,Georgia,Clayton,US:Georgia:Clayton,264220
US,Iowa,Clayton,US:Iowa:Clayton,17773
US,Colorado,Clear Creek,US:Colorado:Clear Creek,9031
US,Pennsylvania,Clearfield,US:Pennsylvania:Clearfield,81174
US,Idaho,Clearwater,US:Idaho:Clearwater,8577
US,Minnesota,Clearwater,US:Minnesota:Clearwater,8838
US,Alabama,Cleburne,US:Alabama:Cleburne,14994
US,Arkansas,Cleburne,US:Arkansas:Cleburne,25686
US,Ohio,Clermont,US:Ohio:Clermont,200218
US,Arkansas,Cleveland,US:Arkansas:Cleveland,8593
US,North Carolina,Cleveland,US:North Carolina:Cleveland,97047
US,Oklahoma,Cleveland,US:Oklahoma:Cleveland,269340
US,Georgia,Clinch,US:Georgia:Clinch,6795
US,Illinois,Clinton,US:Illinois:Clinton,37907
US,Indiana,Clinton,US:Indiana:Clinton,32916
US,Iowa,Clinton,US:Iowa:Clinton,48420
US,Kentucky,Clinton,US:Kentucky:Clinton,10146
US,Michigan,Clinton,US:Michigan:Clinton,76739
US,Missouri,Clinton,US:Missouri:Clinton,20571
US,New York,Clinton,US:New York:Clinton,81591
US,Ohio,Clinton,US:Ohio:Clinton,41945
US,Pennsylvania,Clinton,US:Pennsylvania:Clinton,39954
US,Kansas,Cloud,US:Kansas:Cloud,9292
US,Mississippi,Coahoma,US:Mississippi:Coahoma,25182
US,Oklahoma,Coal,US:Oklahoma:Coal,5867
US,Puerto Rico,Coamo Municipality,US:Puerto Rico:Coamo Municipality,40512
US,Georgia,Cobb,US:Georgia:Cobb,717190
US,Arizona,Cochise,US:Arizona:Cochise,129473
US,Texas,Cochran,US:Texas:Cochran,3016
US,Tennessee,Cocke,US:Tennessee:Cocke,35479
US,Arizona,Coconino,US:Arizona:Coconino,136539
US,South Dakota,Codington,US:South Dakota:Codington,27853
US,Alabama,Coffee,US:Alabama:Coffee,50938
US,Georgia,Coffee,US:Georgia:Coffee,43220
US,Tennessee,Coffee,US:Tennessee:Coffee,53357
US,Kansas,Coffey,US:Kansas:Coffey,8412
US,Texas,Coke,US:Texas:Coke,3210
US,Alabama,Colbert,US:Alabama:Colbert,54520
US,Missouri,Cole,US:Missouri:Cole,76699
US,Texas,Coleman,US:Texas:Coleman,8543
US,Illinois,Coles,US:Illinois:Coles,53697
US,Nebraska,Colfax,US:Nebraska:Colfax,10425
US,New Mexico,Colfax,US:New Mexico:Colfax,13094
US,South Carolina,Colleton,US:South Carolina:Colleton,37788
US,Florida,Collier,US:Florida:Collier,339642
US,Texas,Collin,US:Texas:Collin,854778
US,Texas,Collingsworth,US:Texas:Collingsworth,3099
US,Virginia,"Colonial Heights, City of","US:Virginia:Colonial Heights, City of",17634
US,Texas,Colorado,US:Texas:Colorado,20752
US,Georgia,Colquitt,US:Georgia:Colquitt,46275
US,Arkansas,Columbia,US:Arkansas:Columbia,24164
US,Florida,Columbia,US:Florida:Columbia,67543
US,Georgia,Columbia,US:Georgia:Columbia,135416
US,New York,Columbia,US:New York:Columbia,62243
US,Oregon,Columbia,US:Oregon:Columbia,49344
US,Pennsylvania,Columbia,US:Pennsylvania:Columbia,66797
US,Washington,Columbia,US:Washington:Columbia,4032
US,Wisconsin,Columbia,US:Wisconsin:Columbia,56653
US,Ohio,Columbiana,US:Ohio:Columbiana,105893
US,North Carolina,Columbus,US:North Carolina:Columbus,57246
US,California,Colusa,US:California:Colusa,21358
US,Texas,Comal,US:Texas:Comal,118480
US,Kansas,Comanche,US:Kansas:Comanche,1955
US,Oklahoma,Comanche,US:Oklahoma:Comanche,124937
US,Texas,Comanche,US:Texas:Comanche,13623
US,Puerto Rico,Comerío Municipality,US:Puerto Rico:Comerío Municipality,20778
US,Texas,Concho,US:Texas:Concho,4043
US,Louisiana,Concordia,US:Louisiana:Concordia,20442
US,Alabama,Conecuh,US:Alabama:Conecuh,12887
US,Colorado,Conejos,US:Colorado:Conejos,8277
US,California,Contra Costa,US:California:Contra Costa,1094205
US,Wyoming,Converse,US:Wyoming:Converse,14313
US,Arkansas,Conway,US:Arkansas:Conway,21245
US,Georgia,Cook,US:Georgia:Cook,17066
US,Illinois,Cook,US:Illinois:Cook,5240700
US,Minnesota,Cook,US:Minnesota:Cook,5200
US,Texas,Cooke,US:Texas:Cooke,38467
US,Missouri,Cooper,US:Missouri:Cooper,17647
US,New Hampshire,Coos,US:New Hampshire:Coos,31997
US,Oregon,Coos,US:Oregon:Coos,62282
US,Alabama,Coosa,US:Alabama:Coosa,10898
US,Mississippi,Copiah,US:Mississippi:Copiah,28921
US,Alaska,Copper River,US:Alaska:Copper River,2764
US,Puerto Rico,Corozal Municipality,US:Puerto Rico:Corozal Municipality,37142
US,South Dakota,Corson,US:South Dakota:Corson,4215
US,New York,Cortland,US:New York:Cortland,48976
US,Texas,Coryell,US:Texas:Coryell,76192
US,Ohio,Coshocton,US:Ohio:Coshocton,36760
US,Colorado,Costilla,US:Colorado:Costilla,3518
US,Texas,Cottle,US:Texas:Cottle,1452
US,Oklahoma,Cotton,US:Oklahoma:Cotton,6152
US,Minnesota,Cottonwood,US:Minnesota:Cottonwood,11616
US,Alabama,Covington,US:Alabama:Covington,37886
US,Mississippi,Covington,US:Mississippi:Covington,19423
US,Virginia,"Covington, City of","US:Virginia:Covington, City of",5818
US,Georgia,Coweta,US:Georgia:Coweta,133180
US,Kansas,Cowley,US:Kansas:Cowley,36204
US,Washington,Cowlitz,US:Washington:Cowlitz,101860
US,Oklahoma,Craig,US:Oklahoma:Craig,14672
US,Virginia,Craig,US:Virginia:Craig,5210
US,Arkansas,Craighead,US:Arkansas:Craighead,101488
US,Texas,Crane,US:Texas:Crane,4773
US,North Carolina,Craven,US:North Carolina:Craven,104489
US,Arkansas,Crawford,US:Arkansas:Crawford,61640
US,Georgia,Crawford,US:Georgia:Crawford,12504
US,Illinois,Crawford,US:Illinois:Crawford,19505
US,Indiana,Crawford,US:Indiana:Crawford,10621
US,Iowa,Crawford,US:Iowa:Crawford,17434
US,Kansas,Crawford,US:Kansas:Crawford,39278
US,Michigan,Crawford,US:Michigan:Crawford,13904
US,Missouri,Crawford,US:Missouri:Crawford,24543
US,Ohio,Crawford,US:Ohio:Crawford,42808
US,Pennsylvania,Crawford,US:Pennsylvania:Crawford,87376
US,Wisconsin,Crawford,US:Wisconsin:Crawford,16397
US,Oklahoma,Creek,US:Oklahoma:Creek,70470
US,Alabama,Crenshaw,US:Alabama:Crenshaw,13986
US,Georgia,Crisp,US:Georgia:Crisp,23336
US,Arkansas,Crittenden,US:Arkansas:Crittenden,49746
US,Kentucky,Crittenden,US:Kentucky:Crittenden,9255
US,Tennessee,Crockett,US:Tennessee:Crockett,14591
US,Texas,Crockett,US:Texas:Crockett,3807
US,Oregon,Crook,US:Oregon:Crook,20815
US,Wyoming,Crook,US:Wyoming:Crook,7184
US,Texas,Crosby,US:Texas:Crosby,5991
US,Arkansas,Cross,US:Arkansas:Cross,17548
US,Minnesota,Crow Wing,US:Minnesota:Crow Wing,63208
US,Colorado,Crowley,US:Colorado:Crowley,5322
US,Texas,Culberson,US:Texas:Culberson,2277
US,Puerto Rico,Culebra Municipality,US:Puerto Rico:Culebra Municipality,1818
US,Alabama,Cullman,US:Alabama:Cullman,80811
US,Virginia,Culpeper,US:Virginia:Culpeper,48506
US,Illinois,Cumberland,US:Illinois:Cumberland,10939
US,Kentucky,Cumberland,US:Kentucky:Cumberland,6789
US,Maine,Cumberland,US:Maine:Cumberland,285456
US,New Jersey,Cumberland,US:New Jersey:Cumberland,157332
US,North Carolina,Cumberland,US:North Carolina:Cumberland,325871
US,Pennsylvania,Cumberland,US:Pennsylvania:Cumberland,241212
US,Tennessee,Cumberland,US:Tennessee:Cumberland,57466
US,Virginia,Cumberland,US:Virginia:Cumberland,9841
US,Nebraska,Cuming,US:Nebraska:Cuming,8996
US,North Carolina,Currituck,US:North Carolina:Currituck,24396
US,New Mexico,Curry,US:New Mexico:Curry,50598
US,Oregon,Curry,US:Oregon:Curry,22339
US,Colorado,Custer,US:Colorado:Custer,4285
US,Idaho,Custer,US:Idaho:Custer,4249
US,Montana,Custer,US:Montana:Custer,11951
US,Nebraska,Custer,US:Nebraska:Custer,10792
US,Oklahoma,Custer,US:Oklahoma:Custer,29377
US,South Dakota,Custer,US:South Dakota:Custer,8468
US,Ohio,Cuyahoga,US:Ohio:Cuyahoga,1263154
US,Georgia,Dade,US:Georgia:Dade,16507
US,Missouri,Dade,US:Missouri:Dade,7578
US,Utah,Daggett,US:Utah:Daggett,1127
US,Minnesota,Dakota,US:Minnesota:Dakota,408509
US,Nebraska,Dakota,US:Nebraska:Dakota,20947
US,Alabama,Dale,US:Alabama:Dale,49884
US,Texas,Dallam,US:Texas:Dallam,7057
US,Alabama,Dallas,US:Alabama:Dallas,41996
US,Arkansas,Dallas,US:Arkansas:Dallas,7933
US,Iowa,Dallas,US:Iowa:Dallas,74641
US,Missouri,Dallas,US:Missouri:Dallas,16535
US,Texas,Dallas,US:Texas:Dallas,2480331
US,Wisconsin,Dane,US:Wisconsin:Dane,509939
US,Montana,Daniels,US:Montana:Daniels,1791
US,Virginia,"Danville, City of","US:Virginia:Danville, City of",42907
US,North Carolina,Dare,US:North Carolina:Dare,35019
US,Ohio,Darke,US:Ohio:Darke,52376
US,South Carolina,Darlington,US:South Carolina:Darlington,67935
US,Pennsylvania,Dauphin,US:Pennsylvania:Dauphin,270937
US,North Carolina,Davidson,US:North Carolina:Davidson,163420
US,Tennessee,Davidson,US:Tennessee:Davidson,658602
US,North Carolina,Davie,US:North Carolina:Davie,41554
US,Indiana,Daviess,US:Indiana:Daviess,32407
US,Kentucky,Daviess,US:Kentucky:Daviess,98218
US,Missouri,Daviess,US:Missouri:Daviess,8294
US,Iowa,Davis,US:Iowa:Davis,8791
US,Utah,Davis,US:Utah:Davis,322094
US,South Dakota,Davison,US:South Dakota:Davison,19823
US,Nebraska,Dawes,US:Nebraska:Dawes,9088
US,Georgia,Dawson,US:Georgia:Dawson,22686
US,Montana,Dawson,US:Montana:Dawson,9445
US,Nebraska,Dawson,US:Nebraska:Dawson,24207
US,Texas,Dawson,US:Texas:Dawson,13810
US,South Dakota,Day,US:South Dakota:Day,5596
US,New Mexico,De Baca,US:New Mexico:De Baca,1907
US,Louisiana,De Soto,US:Louisiana:De Soto,27083
US,Illinois,De Witt,US:Illinois:De Witt,16420
US,Texas,Deaf Smith,US:Texas:Deaf Smith,19177
US,Indiana,Dearborn,US:Indiana:Dearborn,49904
US,Georgia,Decatur,US:Georgia:Decatur,27359
US,Indiana,Decatur,US:Indiana:Decatur,26277
US,Iowa,Decatur,US:Iowa:Decatur,8136
US,Kansas,Decatur,US:Kansas:Decatur,2930
US,Tennessee,Decatur,US:Tennessee:Decatur,11661
US,Montana,Deer Lodge,US:Montana:Deer Lodge,9329
US,Ohio,Defiance,US:Ohio:Defiance,38532
US,Alabama,DeKalb,US:Alabama:DeKalb,71013
US,Georgia,DeKalb,US:Georgia:DeKalb,713340
US,Illinois,DeKalb,US:Illinois:DeKalb,104741
US,Indiana,DeKalb,US:Indiana:DeKalb,42307
US,Missouri,DeKalb,US:Missouri:DeKalb,12840
US,Tennessee,DeKalb,US:Tennessee:DeKalb,19164
US,California,Del Norte,US:California:Del Norte,27873
US,Indiana,Delaware,US:Indiana:Delaware,117484
US,Iowa,Delaware,US:Iowa:Delaware,17534
US,New York,Delaware,US:New York:Delaware,46722
US,Ohio,Delaware,US:Ohio:Delaware,184979
US,Oklahoma,Delaware,US:Oklahoma:Delaware,41377
US,Pennsylvania,Delaware,US:Pennsylvania:Delaware,561973
US,Colorado,Delta,US:Colorado:Delta,30483
US,Michigan,Delta,US:Michigan:Delta,36905
US,Texas,Delta,US:Texas:Delta,5238
US,Alaska,Denali,US:Alaska:Denali,1867
US,Missouri,Dent,US:Missouri:Dent,15730
US,Texas,Denton,US:Texas:Denton,728799
US,Colorado,"Denver, City and County of","US:Colorado:Denver, City and County of",649495
US,Iowa,Des Moines,US:Iowa:Des Moines,40480
US,Oregon,Deschutes,US:Oregon:Deschutes,165954
US,Arkansas,Desha,US:Arkansas:Desha,12505
US,Florida,DeSoto,US:Florida:DeSoto,34517
US,Mississippi,DeSoto,US:Mississippi:DeSoto,168240
US,Nebraska,Deuel,US:Nebraska:Deuel,1937
US,South Dakota,Deuel,US:South Dakota:Deuel,4320
US,Oklahoma,Dewey,US:Oklahoma:Dewey,4844
US,South Dakota,Dewey,US:South Dakota:Dewey,5586
US,Texas,DeWitt,US:Texas:DeWitt,20503
US,Texas,Dickens,US:Texas:Dickens,2291
US,Virginia,Dickenson,US:Virginia:Dickenson,15486
US,North Dakota,Dickey,US:North Dakota:Dickey,5248
US,Iowa,Dickinson,US:Iowa:Dickinson,16955
US,Kansas,Dickinson,US:Kansas:Dickinson,19609
US,Michigan,Dickinson,US:Michigan:Dickinson,26098
US,Tennessee,Dickson,US:Tennessee:Dickson,50266
US,Alaska,Dillingham,US:Alaska:Dillingham,5010
US,South Carolina,Dillon,US:South Carolina:Dillon,31229
US,Texas,Dimmit,US:Texas:Dimmit,10897
US,Virginia,Dinwiddie,US:Virginia:Dinwiddie,27904
US,District of Columbia,District of Columbia,US:District of Columbia:District of Columbia,646449
US,North Dakota,Divide,US:North Dakota:Divide,2314
US,Florida,Dixie,US:Florida:Dixie,15940
US,Nebraska,Dixon,US:Nebraska:Dixon,5851
US,West Virginia,Doddridge,US:West Virginia:Doddridge,8344
US,Georgia,Dodge,US:Georgia:Dodge,21221
US,Minnesota,Dodge,US:Minnesota:Dodge,20349
US,Nebraska,Dodge,US:Nebraska:Dodge,36515
US,Wisconsin,Dodge,US:Wisconsin:Dodge,88344
US,Colorado,Dolores,US:Colorado:Dolores,2029
US,New Mexico,Doña Ana,US:New Mexico:Doña Ana,213460
US,Kansas,Doniphan,US:Kansas:Doniphan,7851
US,Texas,Donley,US:Texas:Donley,3522
US,Georgia,Dooly,US:Georgia:Dooly,14304
US,Wisconsin,Door,US:Wisconsin:Door,27896
US,Puerto Rico,Dorado Municipality,US:Puerto Rico:Dorado Municipality,38165
US,Maryland,Dorchester,US:Maryland:Dorchester,32660
US,South Carolina,Dorchester,US:South Carolina:Dorchester,145397
US,Georgia,Dougherty,US:Georgia:Dougherty,92969
US,Colorado,Douglas,US:Colorado:Douglas,305963
US,Georgia,Douglas,US:Georgia:Douglas,136379
US,Illinois,Douglas,US:Illinois:Douglas,19887
US,Kansas,Douglas,US:Kansas:Douglas,114322
US,Minnesota,Douglas,US:Minnesota:Douglas,36545
US,Missouri,Douglas,US:Missouri:Douglas,13515
US,Nebraska,Douglas,US:Nebraska:Douglas,537256
US,Nevada,Douglas,US:Nevada:Douglas,47118
US,Oregon,Douglas,US:Oregon:Douglas,106940
US,South Dakota,Douglas,US:South Dakota:Douglas,3023
US,Washington,Douglas,US:Washington:Douglas,39471
US,Wisconsin,Douglas,US:Wisconsin:Douglas,43887
US,Arkansas,Drew,US:Arkansas:Drew,18785
US,Indiana,Dubois,US:Indiana:Dubois,42361
US,Iowa,Dubuque,US:Iowa:Dubuque,95697
